കവിതകൾ/ പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
മുറ്റത്തെ മുല്ലകളൊക്കെപ്പൂത്തു ,കുമ്മി,ചങ്ങമ്പുഴ,1
കട്ടക്കിടാവിന്റെ കൺ കുളിർത്തു ,കുമ്മി,ചങ്ങമ്പുഴ,2
ആയവനാശിച്ചിട്ടില്ലെന്നിരിക്കു കി,കുമ്മി,ചങ്ങമ്പുഴ,3
ലാഗമിച്ചീടുമോ പുഷ്പ്പകാലം  അവൻ,കുമ്മി,ചങ്ങമ്പുഴ,4
സ്വാഗർഗ്ഗമൊത്തുമോ സാനുകൂലം ,കുമ്മി,ചങ്ങമ്പുഴ,5
പൂക്കൾ നിറക്കുന്ന കാലമായി ,കുമ്മി,പി.കുഞ്ഞിരാമൻ നായർ ,1
പൂമ്പാറ്റക്കെന്തിത്ര താമസമായ്,കുമ്മി,പി.കുഞ്ഞിരാമൻ നായർ ,2
പുള്ളിയുടുപ്പുകളിട്ടുടൻ തോട്ടത്തിൽ ,കുമ്മി,പി.കുഞ്ഞിരാമൻ നായർ ,3
പൂമ്പൊടിയുന്നുവാൻ വന്നീടേണം വേഗം,കുമ്മി,പി.കുഞ്ഞിരാമൻ നായർ ,4
പൂമ്പൊടിയുന്നുവാൻ വന്നീടേണം,കുമ്മി,പി.കുഞ്ഞിരാമൻ നായർ ,5
വാരിജലോചനൻ നാരായണൻ ,കുമ്മി,Traditional,1
നാരിയായ് വന്നൊരു രൂപം പോലെ ,കുമ്മി,Traditional,2
സാരസ്യമോഡ വിഷാദത്തമാർന്നിടാം ,കുമ്മി,Traditional,3
നാരായണി പോയി കുമ്മിയോട്‌  വേഗം ,കുമ്മി,Traditional,4
